Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal
2,35,Business Ideas Ka Pitara,261,Bowled.io,Sports,Play-to-Earn Social Gaming Platform,Middle,Mumbai,Maharashtra,,,,80,1,8000,0,,,,,
2,35,Business Ideas Ka Pitara,262,Toyshine,Manufacturing,Collection of Toys,Middle,Jalandhar,Punjab,4500,450,,125,0.5,25000,0,,,,,
2,36,Anokhe Pitchers Ke Anokhe Ideas,263,neuphony,Medical/Health,Wearable EEG Headband,Young,Noida,Uttar Pradesh,-1,,,100,2,5000,1,1,100,5.4,1851.851852,2
2,36,Anokhe Pitchers Ke Anokhe Ideas,264,Amrutam,Food,Ayurvedic Lifestyle products,Middle,Gwalior,Madhya Pradesh,110,,,50,2,2500,0,,,,,
2,36,Anokhe Pitchers Ke Anokhe Ideas,265,HoloKitab,Technology/Software,Augmented Reality content for books,Middle,Jalandhar,Punjab,0,,,45,10,450,1,1,45,25,180,1
2,37,Bharat Ka Kal,266,Zoe,Food,Nutrition For Life. Shop health & wellness products,Middle,Gurgaon,Haryana,120,,,75,5,1500,0,,,,,
2,37,Bharat Ka Kal,267,Hornback,Vehicles/Electrical Vehicles,Diamond frame folding bicycles,Middle,Hyderabad,Telangana,,,,50,1,5000,1,1,50,2.5,2000,1
2,37,Bharat Ka Kal,268,Malaki,Liquor/Beverages,Non-Alcoholic Beverages,Middle,Mumbai,Maharashtra,270,42,56,50,1,5000,1,1,50,3,1666.666667,2
2,37,Bharat Ka Kal,269,nanoclean,Manufacturing,Contamination Control Solutions,Middle,Bikaner,Rajasthan,110,5,,80,2,4000,0,,,,,
2,38,Innovation And Imagination,270,DesmondJi,Liquor/Beverages,"Spirits, Liqueurs & Cocktail Blends",Middle,Goa,Goa,1200,125,,100,1,10000,0,,,,,
2,38,Innovation And Imagination,271,Cremeitalia,Food,Fresh Italian Cheese Products,Middle,Mumbai,Maharashtra,,62,,90,1.5,6000,0,,,,,
2,38,Innovation And Imagination,272,nawgati,Services,Congestion Management for Fuel Stations,Young,Noida,Uttar Pradesh,,,,67,2,3350,1,1,67,3,2233.333333,2
2,38,Innovation And Imagination,273,Swytchd,Vehicles/Electrical Vehicles,All-inclusive Electric Vehicle Subscription,Middle,Bangalore,Karnataka,,,,50,3,1666.666667,0,,,,,
2,39,Revolutionary Ideas And Successful Businesses,274,GladFul,Food,Natural High Protein Rich & Healthy Foods,Middle,Jaipur,Rajasthan,-1,24,,50,2,2500,1,1,50,3.5,1428.571429,3
2,39,Revolutionary Ideas And Successful Businesses,275,Pharmallama,Medical/Health,Simplified pharmacy,Middle,Bangalore,Karnataka,,24,,100,1.5,6666.666667,1,1,200,5,4000,5
2,39,Revolutionary Ideas And Successful Businesses,276,CraveRajaFoods,Food,Cloud-kitchen service,Middle,Kolkata,West Bengal,256,20,70,65,3,2166.666667,0,,,,,
2,39,Revolutionary Ideas And Successful Businesses,277,VAPerfume,Furnishing/Household,"Devotional, meditational, and romantic incense",Middle,Mumbai,Maharashtra,,,56,100,10,1000,0,,,,,
2,40,Creating Valuable Businesses,278,Hood,Technology/Software,Pseudonymous social network,Middle,Gurgaon,Haryana,0,,,120,0.2,60000,1,1,60,0.54,11111.11111,2
2,40,Creating Valuable Businesses,279,TwistingScoops,Food,Authentic turkish ice cream,Young,Delhi,Delhi,,,,100,2.5,4000,1,0,,,,
2,40,Creating Valuable Businesses,280,GROWiT,Agriculture,Protective farming products,Middle,Surat,Gujarat,-1,,22,100,1,10000,1,1,50,1,5000,2
2,41,Out Of The Box Business Ideas,281,Makino,Food,Nachos & Nuts,Young,Himmatnagar,Gujarat,,2.5,40,200,2,10000,0,,,,,
2,41,Out Of The Box Business Ideas,282,Trunome,Medical/Health,Post Transplant Care,Middle,Chennai,Tamil Nadu,,,,150,1,15000,1,1,150,2,7500,4
2,41,Out Of The Box Business Ideas,283,Wol3D,Manufacturing,3D printing technology,Middle,Mumbai,Maharashtra,,,30,150,1,15000,1,1,80,2,4000,1
2,41,Out Of The Box Business Ideas,284,What'sUpWellness,Food,Wellness in the form of quick bites,Middle,Kolkata,West Bengal,,30,,50,3,1666.666667,1,1,60,4.76,1260.504202,3
2,42,Building Businesses From Scratch,285,ProostBeer,Liquor/Beverages,Freshly brewed beer,Middle,Delhi,Delhi,-1,,,100,0.75,13333.33333,0,,,,,
2,42,Building Businesses From Scratch,286,DrCubes,Liquor/Beverages,Frozen Fresh cubes,Middle,Bangalore,Karnataka,75,,45,80,15,533.3333333,0,,,,,
2,42,Building Businesses From Scratch,287,MetroRide,Vehicles/Electrical Vehicles,Metro Shuttle Service Access Transportation,Middle,Bangalore,Karnataka,54,25,,75,1,7500,0,,,,,
2,42,Building Businesses From Scratch,288,Conker,Technology/Software,Skill Based Learning Online Courses,Middle,Bangalore,Karnataka,120,22,50,40,1,4000,0,,,,,
2,43,Creating Value Through Ideas,289,WTF,Food,Where's The Food,Middle,Kolkata,West Bengal,,,,75,5,1500,0,,,,,
2,43,Creating Value Through Ideas,290,funngro,Technology/Software,Smart Teens work with Smart companies,Middle,Mumbai,Maharashtra,,,,50,1.25,4000,1,1,50,4.16,1201.923077,2
2,43,Creating Value Through Ideas,291,Aadvik,Food,Buy Camel & Goat Milk,Middle,Delhi,Delhi,720,50,,60,1.5,4000,1,1,15,1.5,1000,1
2,43,Creating Value Through Ideas,292,oyehappy,Services,"Unique Gifts, Customized Gifts, Romantic Gifts, Thoughtful Gifts",Middle,Hyderabad,Telangana,1005,80,80,50,1,5000,0,,,,,
2,44,Entrepreneurship Ka Junoon,293,HealthyMaster,Food,"Online Dry Fruits, Snacks, Berries, Chips",Middle,Bangalore,Karnataka,-1,20,45,50,2,2500,1,1,50,6.5,769.2307692,1
2,44,Entrepreneurship Ka Junoon,294,Kitsons,Furnishing/Household,"Stationery, Art & Craft, Books & Toy Retail Space",Middle,Hyderabad,Telangana,,,,1000,10,10000,0,,,,,
2,44,Entrepreneurship Ka Junoon,295,LondonBubble,Food,Waffle Chips Online,Middle,Mumbai,Maharashtra,,,,75,5,1500,1,1,75,15,500,1
2,44,Entrepreneurship Ka Junoon,296,WaggyZone,Animal/Pets,"Ice Cream Treat for Dogs, Puppies and Cats",Middle,Mumbai,Maharashtra,0,1,60,50,5,1000,0,,,,,
2,45,True Meaning Of Entrepreneurship,297,NutriCook,Food,"Smart Pots, Air Fryers, Air Fryer Oven",Middle,"Bangalore,Punganur","Karnataka,Andhra Pradesh",13,,,100,2,5000,1,1,50,10,500,1
2,45,True Meaning Of Entrepreneurship,298,Subhag,Medical/Health,Health-tech IUI Treatment Procedure for Infertility,Middle,"Jhumri Telaiya,Raipur","Jharkhand,Chhattisgarh",,0,,50,1,5000,1,1,20,1,2000,1
2,45,True Meaning Of Entrepreneurship,299,SinghStyled,Beauty/Fashion,Sikh Gentleman to maintain their Guru-gifted identity,Middle,Mumbai,Maharashtra,,7.5,,50,5,1000,1,1,50,10,500,1
